Categoria,Pergunta,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10
ORIENTAÇÃO A RESULTADOS,Sinto que meu trabalho contribui para os resultados do meu time,5,3,4,3,5,5,,4,5,5
RELACIONAMENTO INTERPESSOAL,"Em meu trabalho, contribuo ativamente para a felicidade e o bem-estar dos outros",4,5,4,5,4,5,5,5,5,4
RELACIONAMENTO INTERPESSOAL,Eu me sinto usualmente incluído nos grupos sociais do dia a dia pelas outras pessoas,5,5,5,4,5,5,5,4,1,4
RELACIONAMENTO INTERPESSOAL,"Na empresa, há um clima de confiança entre os colegas de trabalho",5,5,5,5,5,4,5,5,5,5
RELACIONAMENTO INTERPESSOAL,"No meu setor, existe um ambiente social agradável",5,5,5,4,5,5,5,5,5,5
RELACIONAMENTO INTERPESSOAL,"No meu setor, há respeito de um pelo outro",5,5,5,5,5,5,5,5,5,4
RELACIONAMENTO INTERPESSOAL,"No meu setor, não existem intrigas entre pessoas",3,5,2,4,3,3,5,2,5,2
SOBRECARGA NO TRABALHO,A quantidade de trabalho é considerada mais importante do que a sua qualidade,1,1,1,3,1,1,1,1,1,1
SOBRECARGA NO TRABALHO,Existem pessoas ociosas na empresa,3,1,1,2,2,3,1,2,5,4
SOBRECARGA NO TRABALHO,Me sinto sobrecarregado(a) em minhas funções,3,3,1,1,2,3,1,2,1,2
SOBRECARGA NO TRABALHO,"Por causa das demandas do meu trabalho, não consigo fazer as coisas que quero fazer em casa ",2,3,1,3,1,5,1,3,1,2
SOBRECARGA NO TRABALHO,Sinto que a empresa suga minhas energias,2,1,1,1,1,1,1,2,1,1
SUCESSO NA CARREIRA,As oportunidades de promoção que vejo pela frente são coerentes com os meus interesses,5,4,3,3,5,5,5,5,5,5
SUCESSO NA CARREIRA,Me sinto satisfeito com o salário e os benefícios que recebo dentro da MCH,5,5,5,5,5,5,5,5,5,5
SUCESSO NA CARREIRA,Sinto uma relação próxima e proporcional entre o meu sucesso e o sucesso da empresa,5,5,5,5,5,5,5,5,5,5
SUCESSO NA CARREIRA,Sou competente na realização das minhas atividades profissionais,5,5,4,3,5,5,5,3,5,5
SUCESSO NA CARREIRA,Sou reconhecido pelos colegas de trabalho,4,4,5,2,5,5,5,4,5,4
SUCESSO NA CARREIRA,Sou reconhecido pelos meus superiores,5,4,4,3,5,5,5,5,5,4
TRABALHO EM EQUIPE, Sinto que minha equipe trabalha como um verdadeiro time,5,5,5,4,5,4,5,4,5,4
TRABALHO EM EQUIPE,A empresa estimula o trabalho em equipe,5,5,5,5,5,5,5,3,5,5
TRABALHO EM EQUIPE,Existe um diálogo claro no momento de delegação e de divisão de tarefas,2,5,5,3,5,5,5,5,5,5
TRABALHO EM EQUIPE,Há espírito de colaboração na equipe em que atuo,4,5,5,5,4,4,5,4,5,5
TRABALHO EM EQUIPE,"Na empresa, o grupo se auxilia mutuamente",4,5,5,5,5,4,5,4,5,4
TRABALHO EM EQUIPE,No meu setor existe espírito de solidariedade entre as pessoas,4,5,4,5,5,5,5,5,5,5
TRABALHO EM EQUIPE,Tenho confiança no trabalho dos demais membros,4,5,4,4,3,5,5,4,5,5
TRANSPARÊNCIA,A chefia me informa sobre os fatos importantes que estão acontecendo na empresa ,4,5,4,4,5,5,5,3,5,4
TRANSPARÊNCIA,A empresa consulta o funcionário antes de promover mudanças no trabalho,5,5,3,5,3,5,5,5,5,5
TRANSPARÊNCIA,Clareza é uma característica nas atuações dos gestores ,4,5,5,3,5,5,5,5,5,5
TRANSPARÊNCIA,Essa organização considera meus interesses quando toma decisões que me afetam,4,5,4,5,5,5,5,4,1,3
TRANSPARÊNCIA,Sou informado sobre as mudanças de processos que afetam o meu trabalho,5,5,4,4,5,5,5,4,5,5
